round,case,method,milliseconds
1,432,Original,1.95693969726563
1,432,Indexed,0.546932220458984
3,77,Indexed,0.574827194213867
3,77,Original,1.88899040222168
4,554,Indexed,0.909090042114258
4,554,Original,3.1578540802002
2,544,Original,2.18892097473145
2,544,Indexed,0.642061233520508
2,255,Original,2.2118091583252
2,255,Indexed,0.596046447753906
3,124,Indexed,0.632047653198242
3,124,Original,2.0601749420166
1,406,Original,2.03895568847656
1,406,Indexed,0.694036483764648
2,364,Original,1.96003913879395
2,364,Indexed,0.573158264160156
3,400,Indexed,0.570058822631836
3,400,Original,1.86014175415039
3,130,Indexed,0.886917114257813
3,130,Original,2.11000442504883
2,295,Indexed,0.669002532958984
2,295,Original,2.01296806335449
1,578,Original,1.90114974975586
1,578,Indexed,0.574111938476563
1,445,Original,1.9080638885498
1,445,Indexed,0.696897506713867
4,278,Indexed,0.599145889282227
4,278,Original,1.91998481750488
1,597,Original,2.01201438903809
1,597,Indexed,3.27301025390625
5,171,Original,3.11708450317383
5,171,Indexed,0.606060028076172
3,210,Original,2.0759105682373
3,210,Indexed,0.601053237915039
5,474,Indexed,0.594139099121094
5,474,Original,2.06398963928223
1,308,Indexed,0.601053237915039
1,308,Original,2.08878517150879
5,250,Original,2.07185745239258
5,250,Indexed,0.61488151550293
5,13,Original,1.92904472351074
5,13,Indexed,0.558853149414063
5,344,Indexed,0.560998916625977
5,344,Original,1.93905830383301
1,21,Original,1.88708305358887
1,21,Indexed,0.558137893676758
5,573,Original,1.91211700439453
5,573,Indexed,0.571966171264648
4,590,Original,1.94501876831055
4,590,Indexed,0.624895095825195
1,342,Indexed,0.604152679443359
1,342,Original,1.87993049621582
1,408,Original,1.8470287322998
1,408,Indexed,0.649929046630859
1,83,Indexed,0.670909881591797
1,83,Original,4.94909286499023
5,159,Indexed,0.939846038818359
5,159,Original,2.3961067199707
2,178,Indexed,0.633955001831055
2,178,Original,2.13789939880371
3,33,Original,2.11286544799805
3,33,Indexed,0.632047653198242
2,132,Original,2.06995010375977
2,132,Indexed,0.623941421508789
3,235,Original,2.03800201416016
3,235,Indexed,0.585079193115234
5,349,Indexed,0.55694580078125
5,349,Original,1.93595886230469
2,566,Indexed,0.657081604003906
2,566,Original,1.88899040222168
5,354,Original,1.92689895629883
5,354,Indexed,0.565052032470703
4,91,Indexed,0.626087188720703
4,91,Original,1.93309783935547
5,232,Indexed,0.566959381103516
5,232,Original,1.89399719238281
2,156,Indexed,0.567913055419922
2,156,Original,1.90401077270508
2,508,Indexed,0.546932220458984
2,508,Original,2.00390815734863
