source,line_hash,rank,milliseconds
blogs,4054deecb174f717e2fe6fe7bd4095a27d06200b8043af5b7d915eb985ef27a3,1,0.587940216064453
blogs,e7e127780d035bd0c76f2ac65a8d93edc08d0bd8ee5b7014ad0f28d53b615cdd,0,0.612974166870117
blogs,0999a671801d5c56c9233b675d4d7065e41fde5cde8dd4a5a64a1220029d3e22,0,0.592947006225586
blogs,67220dc16dbbefd83c149fb4bd803213d89492cd5fc9f6acec32669b8f0253fe,1,0.564098358154297
blogs,764597b8401ca8bd3f09abd8c82151731453da8f44bdc36f11bb4997b73165d2,0,0.603914260864258
blogs,75fbc187e71ed80033bdace43c3626ab186cb429aaca32b6f08c9b1b0b8444b6,0,0.565052032470703
blogs,cd15e561e7fc867b9c2e835e800154bd0be757e6d640fadc314f677476e5b7b5,0,0.553131103515625
blogs,ae8bf5c69965afe9d176327f89b31a40337814b960d80ae01bc968dd46cc3349,0,0.739097595214844
blogs,249ceba8002b87707e882c3b63b9feb25d5764164d7de7b50b6a4e442032994b,0,0.70500373840332
blogs,088086dcb5715f8edea12bf99b220bd79151ef92d8d5639b9ce6ff2af750aa3c,0,0.570058822631836
blogs,535e5a5dfe34014f1aa3060f920ac58e2b09d9acea67a8f520c8f578cbe60864,3,0.592947006225586
blogs,69d90146172c7597139af760c5db39978c46da358088125d8d8018e407866988,0,0.586986541748047
blogs,30a9f0776e80a74797c413ea192774c5b1e6e0e956f224b86e82f54713ec3e08,0,0.597000122070313
blogs,f90f6dbdc4c899da2381c21acdcbcba25e82f0028d37b93e8e9c2b37b334b20b,0,0.603914260864258
blogs,67a5c87095d7430d61a213350a487b0accdd17112ceed832ba93af6dc39b3e4d,1,0.563144683837891
blogs,eb7d4242ad15e73cca7b4e53af9564d1a63b6a510e7a56c218d37b0d625547f8,0,0.585079193115234
blogs,b8daf113cf9a3b6204e823218b188ffcbfa85bf1e8b8f9d229d75376f9be2ee5,0,0.5950927734375
blogs,95124b3051baf8659f3adaebbdb44983593a0997272bee4d373b5bc38414521f,0,0.63014030456543
blogs,282b497fbec0178811613bbdba5ff9eec0c1ee54a0094898833227e3195cc29c,0,0.581979751586914
blogs,509296d7af69829fce10c4fd63587460123a0b8af109b6cb341c049eaba5f153,1,0.615119934082031
blogs,a7b1855e998e5636d2a0ea7547dbefcac979b5cd94d74c0ecf03157e070feca3,2,0.561952590942383
blogs,67a15e555ce8350272b10576f900f5bbf03ba45fcdc6732e5989f6021fd1c734,0,0.560998916625977
blogs,ffc6a00a75bcc4917e4e5405de5b513c8567c6ff1c829ba5510ed5166a084c1b,1,0.615119934082031
blogs,6bb422a226d7c6f7d2a40d30f944587021e16c54880bcf2b3e0743660ea40c56,0,0.581979751586914
blogs,057f13ec60395b2844f2b28f3d1291cf3e85e1064f584ee4e0e2a85179a21d5e,1,0.58293342590332
blogs,7313906fc7c18edc1cf436c1f991cd4fef7cf0778b3cd69a6e5b24f5aa353540,0,0.589132308959961
blogs,97e5167a0cd7d3e8ca22727841a734bdb5bd80e62a3d8258538561178346eb78,0,0.568866729736328
