round,case,name,milliseconds
2,98,Strict,0.750064849853516
2,98,Strong,0.648021697998047
2,98,Gentle,0.640869140625
2,98,Current,0.741958618164063
3,262,Current,0.633001327514648
3,262,Strong,0.620126724243164
3,262,Gentle,0.628948211669922
3,262,Strict,0.5950927734375
2,227,Strict,0.617027282714844
2,227,Current,0.607013702392578
2,227,Gentle,0.571012496948242
2,227,Strong,0.579833984375
1,586,Strict,0.61798095703125
1,586,Gentle,0.580072402954102
1,586,Current,0.587940216064453
1,586,Strong,0.587940216064453
2,465,Gentle,0.584840774536133
2,465,Strong,0.598907470703125
2,465,Strict,0.591039657592773
2,465,Current,0.602006912231445
2,142,Current,0.596046447753906
2,142,Gentle,0.586986541748047
2,142,Strong,0.548839569091797
2,142,Strict,0.600099563598633
2,334,Strict,0.693082809448242
2,334,Gentle,0.68211555480957
2,334,Strong,0.66685676574707
2,334,Current,0.676155090332031
1,576,Strict,0.572919845581055
1,576,Strong,0.578880310058594
1,576,Current,0.658035278320313
1,576,Gentle,0.571966171264648
1,363,Strong,0.582218170166016
1,363,Gentle,0.578165054321289
1,363,Strict,0.553131103515625
1,363,Current,0.575065612792969
2,249,Strict,0.551939010620117
2,249,Current,0.571012496948242
2,249,Gentle,0.56004524230957
2,249,Strong,0.528097152709961
3,395,Current,0.559091567993164
3,395,Strong,0.540018081665039
3,395,Gentle,0.524997711181641
3,395,Strict,0.514030456542969
2,572,Current,0.649929046630859
2,572,Strict,0.732183456420898
2,572,Strong,0.699996948242188
2,572,Gentle,0.648021697998047
3,195,Current,0.576972961425781
3,195,Strict,0.552892684936523
3,195,Gentle,0.545978546142578
3,195,Strong,0.550985336303711
3,390,Strict,0.533819198608398
3,390,Strong,0.516891479492188
3,390,Gentle,0.49591064453125
3,390,Current,0.516891479492188
2,234,Strong,0.541925430297852
2,234,Current,0.548839569091797
2,234,Gentle,0.530004501342773
2,234,Strict,0.545978546142578
1,285,Strict,0.749826431274414
1,285,Strong,0.753879547119141
1,285,Current,0.757932662963867
1,285,Gentle,0.733852386474609
1,214,Strong,0.540018081665039
1,214,Current,0.545024871826172
1,214,Gentle,0.522136688232422
1,214,Strict,0.52189826965332
1,95,Gentle,0.527143478393555
1,95,Current,0.520944595336914
1,95,Strict,0.529050827026367
1,95,Strong,0.645875930786133
3,524,Strict,0.597953796386719
3,524,Current,0.553131103515625
3,524,Gentle,0.677108764648438
3,524,Strong,0.607013702392578
2,185,Current,0.627994537353516
2,185,Strong,0.586986541748047
2,185,Gentle,0.623941421508789
2,185,Strict,0.595808029174805
1,283,Gentle,0.544071197509766
1,283,Strict,0.539064407348633
1,283,Strong,0.562906265258789
1,283,Current,0.57220458984375
3,250,Strong,0.550985336303711
3,250,Strict,0.529050827026367
3,250,Gentle,0.535964965820313
3,250,Current,0.540971755981445
2,417,Strict,0.552892684936523
2,417,Strong,0.624895095825195
2,417,Current,3.9069652557373
2,417,Gentle,0.837802886962891
3,530,Current,0.671863555908203
3,530,Strict,0.627994537353516
3,530,Strong,0.625133514404297
3,530,Gentle,0.598907470703125
3,591,Gentle,0.68211555480957
3,591,Strong,0.723123550415039
3,591,Strict,0.669956207275391
3,591,Current,0.63014030456543
2,73,Strict,0.634908676147461
2,73,Strong,0.618934631347656
2,73,Current,0.607013702392578
2,73,Gentle,0.591039657592773
3,317,Strong,0.622987747192383
3,317,Gentle,0.586986541748047
3,317,Strict,0.597000122070313
3,317,Current,0.633001327514648
1,275,Strong,0.581026077270508
1,275,Current,0.584125518798828
1,275,Gentle,0.576972961425781
1,275,Strict,0.658035278320313
1,165,Current,0.683069229125977
1,165,Strict,0.635147094726563
1,165,Gentle,0.58293342590332
1,165,Strong,0.592947006225586
2,87,Current,0.610113143920898
2,87,Strong,0.573873519897461
2,87,Strict,0.587940216064453
2,87,Gentle,0.573873519897461
2,455,Gentle,0.567913055419922
2,455,Strong,0.597953796386719
2,455,Strict,0.554800033569336
2,455,Current,0.564813613891602
1,135,Strict,0.599861145019531
1,135,Strong,0.663042068481445
1,135,Current,0.606060028076172
1,135,Gentle,0.56910514831543
2,36,Current,0.581979751586914
2,36,Strict,0.565052032470703
2,36,Strong,0.568866729736328
2,36,Gentle,0.566005706787109
3,5,Current,0.587940216064453
3,5,Strict,0.536918640136719
3,5,Gentle,0.522851943969727
3,5,Strong,0.519990921020508
3,122,Gentle,0.574827194213867
3,122,Strict,0.586032867431641
3,122,Strong,0.543832778930664
3,122,Current,0.567913055419922
1,582,Gentle,0.637054443359375
1,582,Strong,0.606060028076172
1,582,Strict,0.514030456542969
1,582,Current,0.543832778930664
3,305,Current,0.642061233520508
3,305,Strict,0.636816024780273
3,305,Strong,0.622034072875977
3,305,Gentle,0.624895095825195
2,427,Gentle,0.542163848876953
2,427,Current,0.519990921020508
2,427,Strong,0.513076782226563
2,427,Strict,0.522136688232422
3,493,Current,0.545024871826172
3,493,Strong,0.519990921020508
3,493,Gentle,0.5340576171875
3,493,Strict,0.618934631347656
2,191,Strict,0.586986541748047
2,191,Gentle,0.524997711181641
2,191,Current,0.526905059814453
2,191,Strong,0.526905059814453
3,111,Strict,0.549077987670898
3,111,Gentle,0.532150268554688
3,111,Current,0.580072402954102
3,111,Strong,0.522851943969727
1,78,Strict,0.544071197509766
1,78,Gentle,0.533103942871094
1,78,Current,0.540018081665039
1,78,Strong,0.519990921020508
3,133,Current,0.549077987670898
3,133,Gentle,0.545978546142578
3,133,Strict,0.609159469604492
3,133,Strong,0.576019287109375
1,82,Strong,0.638961791992188
1,82,Gentle,0.629901885986328
1,82,Strict,0.614166259765625
1,82,Current,0.633001327514648
3,384,Current,0.557899475097656
3,384,Strong,0.526905059814453
3,384,Strict,0.523805618286133
3,384,Gentle,0.571966171264648
2,208,Gentle,0.527143478393555
2,208,Current,0.540018081665039
