source,line_hash,rank,available,in_vocabulary,elapsed_ms,order
blogs,e77da765d1a871e15251f56b740ba6099c104c0b50360c576c2db01d48f74afc,0,TRUE,TRUE,0,4
blogs,e03666b86135da93ff32a8c161a06ee602fe9f213000abf75744bc8870302666,0,TRUE,TRUE,0,3
blogs,d41cc03d5d1567ee72c1df879a7933c9f96c7555fe6520edf272f56d4384fdbe,1,TRUE,TRUE,0,4
blogs,5128ec4eb9e19cbe60ecd29b41ffc46851125310f017613c87416570efe2f80e,0,TRUE,TRUE,0,2
blogs,a1e5f31397dd4d975c3f66e2af33559f20a5d76fd348e7d161071f68c4065da2,3,TRUE,TRUE,0,2
blogs,82cf3f333346156d3198a16341da6f241d33aa11de936074952706032ac067fd,0,TRUE,TRUE,0,3
blogs,255412f1b8bcbe86ff1a1666bddf951c344f544e321bd9c710cb3679b7f30a79,0,TRUE,TRUE,0,5
blogs,817d911963e7523c5f19b954966e6cb3f85224602db98e6c33711511837f28c2,0,TRUE,TRUE,19.999999999996,5
blogs,09b0a9a2f509bd085f0bf4e0a2abcc9de6c5e140cbbed9614fee9c7e0f6e6b73,0,TRUE,TRUE,0,2
blogs,e4b6d9b14e392c2163b38076955626e99e86f2d38703341462ece16cda4fc09e,0,TRUE,TRUE,0,4
blogs,e49b1a64b844e401d52074c0082180ef3ed37b955e47d4c82f9ffb7065e72756,0,TRUE,TRUE,0,2
blogs,1b1df5e2bcdbf8d1c89b81e551f6fd76011590ae0064bf4bdbd3626af6d13c99,0,TRUE,TRUE,0,3
blogs,f70c87d517a8e22cdc0cd9a3ff0b383772682f43dabb756277ec41c9199d8f13,1,TRUE,TRUE,0,3
blogs,162b3a2efc0639c7b87e687f14756011e6064af3a928144a7cc4c6ad9a43ea83,0,TRUE,TRUE,9.99999999999091,3
blogs,d3ff1170d70ec58856211d60abcf65d92f6395fba39c9ef90fd5754038452037,0,TRUE,FALSE,20.0000000000102,1
blogs,e210e17bb1bb8279f2470dde3af69ea067213a4ac9c09d3dcd2d1d2e52a1a742,0,TRUE,TRUE,0,5
blogs,1279610387d16c31613f0db2b9e91a3d38ef457a9805091833b8430086a9c6a2,0,TRUE,TRUE,0,2
blogs,623701cf984709511bb1908d9ffd53b4fef195c7f496452ebd622213602c2cc2,0,TRUE,TRUE,0,4
blogs,154836bcf14f5e5b395b537e91221497f805d9c08b8a23a6537a8934eaaacd2b,0,TRUE,TRUE,0,3
blogs,82b0731a836dcec8b80854584b294e5d0c7c3de45b762264c7f0d4abb863f419,0,TRUE,FALSE,19.999999999996,4
blogs,86547b825387845b70f40913281bdc5cee86adcbbeaade762d41d5f91d2090e3,0,TRUE,TRUE,0,4
blogs,7ba94a7b176cae0eb5b9b642ed3b831f5a15fbfd901c1f0d18370e866d7af123,0,TRUE,TRUE,0,2
blogs,e110f959b78abf13f54ac92e06e3c3119d599ebd938f7bdadf5980953076ef29,0,TRUE,TRUE,0,3
blogs,b90d2300995860f893230a38a1372ffc813b97c9c137a2924ac07939671f824f,3,TRUE,TRUE,0,3
blogs,36d6b7c57df26c723f20fd94bb8bb5cb74ad48b099cc074c7c9a6f927b71d3c5,0,TRUE,TRUE,0,3
blogs,2279a325021bfc22900818eabecc5227c3b8d400a465a7153dffe0d0d0d6ce7e,0,TRUE,TRUE,10.0000000000051,4
blogs,fd60a12a3c2830d23a79507ae206394cffa8f1af7c5d024a54aa0b1b0bf995b3,0,TRUE,TRUE,0,4
blogs,111d92de056378ca05e1172f36f2c789c7aec698b85581d72ffaf457efd31a53,0,TRUE,TRUE,0,2
blogs,c45850fff84e8165c57525aecaa870577778471e844a6558630fbdf83bcfb62f,0,TRUE,TRUE,0,3
blogs,8d0cc5f237ecd8412c948915d310952ea93186d3eae862111bc9820a0e8ea63d,0,TRUE,TRUE,0,5
blogs,6d3eba3fc5432632c63b4f8a65695e647c926ad77113056352427428fcac2957,0,TRUE,TRUE,0,3
blogs,fbb6facdf5a07b2a7fa74cf4f121a01f1daca023bc5035dfd43eb9ccfd53e9e8,1,TRUE,TRUE,0,4
blogs,fefeb9424203a1a3738c49bdccdabb4c22e83ac66b690674181f2b1a235535ea,0,TRUE,TRUE,19.999999999996,4
blogs,11fe4e98956ae17c1eeaef658ea75aebd8a1335ea83674327ecfab001705ccd9,0,TRUE,TRUE,0,5
blogs,6db1d85635eef73e2f034b55fe1072ff26636655d5384082309b0130e3fd90e9,0,TRUE,TRUE,0,2
blogs,6e0cb8ffa0736bdf4c6c78306cef58e783729a960fa3158c38c7abce9601b5d3,2,TRUE,TRUE,0,1
blogs,e8982c1e614d4064b2beef4c15439679a4b96ca882f26429f6de616ddf1ee92a,0,TRUE,TRUE,0,3
blogs,d0649c78f0c27649a50842ed5135b051581020c43da9dba8b20a256a6a4a22a2,1,TRUE,TRUE,0,3
blogs,c8b5b98bc9c285be8b174684599698c7396338b0fb0600e1f4a1871938d19505,1,TRUE,TRUE,0,4
blogs,bf177644fde256b69371134d440524225797410500bcaed42fcc74c1a15e8cf3,1,TRUE,TRUE,10.0000000000051,5
blogs,b2e475ae318c348b84ecdc4fa3a2fe546835a1b8668ba5c7cc50af6eb4b3e8af,0,TRUE,TRUE,0,5
blogs,40d48ae67f2d6e4a38f6ed9ddf8e0b4c351c2fd1bc2c3f695da1a633376808b1,1,TRUE,TRUE,0,3
blogs,4a468a6174ae3ee8071a22aca09de28640cc6ba2ffc8222489b3cfc6251290cc,0,TRUE,TRUE,0,1
blogs,96864d5dbd5f13b5904a6586c854aa11537143ce513926b70b73c9f55e65c6a1,0,TRUE,TRUE,0,5
blogs,1d769ba1b6805e88eb038154c2c75ecc51741829e17925f6923dc9a8494cfc73,1,TRUE,TRUE,0,3
blogs,64e22898c3315452650a4b9453444d644dde4ae9bd6d1a5abcfc8af08f26e235,0,TRUE,TRUE,19.999999999996,5
blogs,388de277c8a5b263cc5b924ff3a5417565dfe4e3873f75d450715075ceb350e1,1,TRUE,TRUE,0,5
blogs,f68646d07ebfdeac3e0deb965ecde5a536a4495e0673de35c0a7231af23e8a4f,0,TRUE,TRUE,0,2
blogs,47b21f97f7cbd9839d5eb7698d09f2c3836253e53ba01c3940b65405bf5c9a1c,0,TRUE,TRUE,0,3
blogs,48a7cfb5fb40a1aecf92870d6149d67a8123f366b137b675994961f29309f940,0,TRUE,TRUE,0,3
blogs,612ca9870db6daafb87be101c3717b9a46db667b02a7a501ba43ddabc5fb160b,0,TRUE,TRUE,0,4
blogs,908cdca1b5589c716142658fe824ae8e23774084e6bb719b0e69bfa09457485a,0,TRUE,TRUE,0,5
blogs,18a3e4a7fff6c7ab613469a76943774ff8b4116f49943ebd9d4d6e1b9e1e1f23,0,TRUE,TRUE,0,5
blogs,09af0bef9d3ccf65674d9055f2f658e308ad78b83949982c44c5c5bc82b58088,1,TRUE,TRUE,0,3
blogs,74e9978463202b732f7661f6d090221219b1e79a8332571fb0b6aaf1e1c86245,1,TRUE,TRUE,0,5
blogs,58e8b334e9bd8fe6a2e711f01f0caece0dda5fdbeac0382903c5b642ad140672,0,TRUE,TRUE,0,4
blogs,2d64e2208139e1ba49398cf29102ae3e3b94247b51c523bbf37cfc878b4ae659,2,TRUE,TRUE,0,5
blogs,2a32c6d2651f98e5592e1af73b87a3a549da20332b9edeeed08c2bdc289a63bc,0,TRUE,TRUE,0,3
blogs,0b18cfdba28b91f057a1a12f148704fc3ae616e482da5af895b3610328a2ae51,0,TRUE,TRUE,0,5
blogs,c711ce3682822ef32a2e9db8fc16517e6d9dfd8c3076982c0ddcf57c5eb3502c,0,TRUE,TRUE,20.0000000000102,3
blogs,d244bd0e9f8f5c684f48691ffb55dd3717d401fa43705b1c380d0dc560ff4d3f,0,TRUE,TRUE,0,3
blogs,8971cc9ac151caa85cb030950598724edc7ae3c88a5155afbe0e506bbbc5c2e9,0,TRUE,TRUE,0,4
blogs,257417f663106d8e29e8b9aac519ba2e73bd3a016aff6a71808ff81fabb300c3,0,TRUE,TRUE,0,2
blogs,87b3428a070cdf4bf0e4b0a63049a196ed38ba3a8edcbf27fafa64a5d9239bcb,0,TRUE,FALSE,0,3
blogs,e8c37d16c23670e2d0d148fbd176e6600baafa6961a08cfd31e37643608b8a6d,0,TRUE,TRUE,0,3
blogs,189aa5a9a3668f54508de44b96d257043172eab5b819fd7dd6def08f16f841c7,0,TRUE,TRUE,0,5
blogs,7ec15b9c9407c96b138a26f3d4c457265f1bbfe9874f5c25d76c4d1e5579be8a,0,TRUE,TRUE,19.999999999996,3
blogs,9bce4f56662abd627caceebd4bf248bc4865be4743df26e789877f08b8dc529f,0,TRUE,TRUE,0,3
blogs,d9b7acc7990ac696468328f71d2d06631c561084bf118d9f4d5ce9394409fbfc,2,TRUE,TRUE,0,4
blogs,01f0de617003b848d6f46742e35d3f69a894be1e9e39c389e02e15d51663acd3,1,TRUE,TRUE,0,3
blogs,a2408d118a5fd8190256c457cdddf7e1745ae7c25278c313afeb228d3ffcb00b,0,TRUE,TRUE,0,2
blogs,d42487523fef00c9f1c0daf2c7ae0d3c5c1614d1f751012d6f312d9249dd4a26,0,TRUE,TRUE,0,3
blogs,758a304607b8c0d5a59a95f989e91483fc5ccaf7f4a2f2001b12a6782ea17b32,0,TRUE,TRUE,0,3
blogs,23d2ce9f895df3b9a56ff5a0ea00292abe15e86813d20d7090b5757316290d2a,0,TRUE,TRUE,10.0000000000051,4
blogs,8c3c6e8f9d200828dffdc68677d6fc008f5d61442c63902e4dc31f376763b4f3,0,TRUE,TRUE,0,2
blogs,7aea0b8495fc317bce3277c25891416c5757aebb61b034962f3db9006b72c258,0,TRUE,TRUE,19.999999999996,5
blogs,2002c498c2d902781cbfb483b4917517eb062f37385dcd8753b9b3c04cf4a7b5,0,TRUE,TRUE,0,2
blogs,1bfc4c5861bfc41aa0ca6842f51de4282a953c4b1215f99d07fadcb95727d0c7,0,TRUE,TRUE,0,2
blogs,dda38548e2633e10c679d38db900ab621b1645daf6e291f76decb9f4b1746a1d,0,TRUE,TRUE,0,3
blogs,e63710f89dcd3868851c6fe60e1751aed83e19c2e7c55a7c43759f66d795f023,0,TRUE,TRUE,10.0000000000051,2
blogs,bf0fce42dd50099e038a940ab0a1e2e0585f7370ef03c7a837a1980a42ce3709,0,TRUE,TRUE,0,2
blogs,c526aeda8f3aa2cb4fa458e87b5db0fb3ee9bbee3797c5d125bf30be85cc4442,0,TRUE,TRUE,0,5
blogs,e124861e4a26735b8ec291597733336509b017abfc20842aa9842414c44087d4,0,TRUE,TRUE,0,3
blogs,12a2fd838efa5709690146fc1b89a2ba88df788ae791cb648da6004f120ce537,0,TRUE,TRUE,0,4
blogs,fb83e3c91c043f923f8bfce5191b55f759d21a118425d093b5406334328d50b0,0,TRUE,TRUE,0,3
blogs,f438ec9ae01958400b0ad69f6ac46b6b284323fe529aeb31adcd1d9d826313ea,0,TRUE,TRUE,0,5
blogs,57c3bc381fbe704eb616c63cd11d71f5671eff3f221a2268d653c7e1114d602c,0,TRUE,TRUE,0,3
blogs,52531756522e4370220622a25191a5dd1c295c77f96b2e9f38c59c9b111a2b4a,1,TRUE,TRUE,19.999999999996,4
blogs,02f384fc5d4115c6eea20358a9f036edb4411b4bd23f22b3a6720e668b654acd,0,TRUE,TRUE,0,3
blogs,133ea56a7822f8cb29cdc38a788be8fd6b76c932755450b1252cfd7f6732881f,1,TRUE,TRUE,0,3
blogs,afad9e9db6ebaa33c61f2037e1870756c3f9cc23a15d026e788b96f440b54245,0,TRUE,TRUE,0,3
blogs,7e166e0f572012c083c1d3d9c43b9cb21cb37a34972286809e98dedecbcca9fb,1,TRUE,TRUE,0,3
blogs,f3edd52d595d265bac4e5ae79a6119327d60b434e84a4e9bcd0aea53869e5ffa,2,TRUE,TRUE,0,3
blogs,3fb1ea0c31cf9250bd0a874be520de90fad35e335ef6dbd09e5293ddb86aca63,0,TRUE,TRUE,10.0000000000051,3
blogs,8937e7c77427300f5147c4e5e1dc0ba3a9fb6af8a99c91d6f68543dcb21e92d9,2,TRUE,TRUE,0,3
blogs,a4a2525a064b68d1e8bed18f00637cbae7cc5879b44eaf555dfd820e89e06cd2,0,TRUE,TRUE,0,4
blogs,3942694d9349956bed7383559c8232993a5d89efa94501d793dd6f6ccdf77ca9,2,TRUE,TRUE,0,3
blogs,134c9559b990d10300ab8a40c2db1dedee87760d1982b8dd3fe3c1b56d5b830c,0,TRUE,TRUE,0,3
blogs,1b7075d3b8aa7524792ef04bdfe12a3f20394e3c5e0b8779d65e1dd2abde497d,1,TRUE,TRUE,0,4
blogs,1212d2f6b4ef3e14a96f4ef8dc1a319bac740f1dffd9f2a607c6dc9c5d6bb2b8,0,TRUE,TRUE,0,2
blogs,f3ea5cbb637997c60dcad10aecea7929ecc21bb85dd3cf3e2dffaa8dfebc6061,0,TRUE,TRUE,19.999999999996,3
blogs,59cecc1a92c87f7e966e36bea77730eab703a997c53eb98fd8af275f72a2af85,0,TRUE,TRUE,0,4
blogs,755f0dff3ec5f2ab0f6c1c876e6cc4a55ed494a37e431aeb207282b9f53f8b46,0,TRUE,TRUE,0,4
blogs,e92faef713f8a352753b829c4c810dbf51cfeaecdc583369252562337ab16df9,0,TRUE,TRUE,0,2
blogs,16171b3cfa7a8bc43665d1209c4ae83f121aeec03cac8a6684cdb654fcba4ded,0,TRUE,TRUE,0,4
blogs,7379154f385fa1761d710703d2b93c17580bc4cfca5d76aaf90175f128d9f559,3,TRUE,TRUE,0,5
blogs,e68a741e461e73d0be3c86a0d82b55ac23e8f6da267f2a3819ea732a902caa78,0,TRUE,TRUE,0,4
blogs,6f96e24086e278a3936ee21eac70fddacd1cc0d3716956d5c22ad3f8a838c4e3,0,TRUE,TRUE,9.99999999999091,3
blogs,e715ee568bab145c3080584270c461c13b5a1f439571248aeea2b14295256087,0,TRUE,TRUE,0,2
blogs,c7fb958ded82cfeebdda3d702cafdfefa04457d42e9704233f8056a375c71567,0,TRUE,TRUE,0,3
blogs,dbc88be15d42853bf997a252bd5022e12454a5e65c04023a616d25677373422d,0,TRUE,TRUE,0,4
